OrderID,CustomerID,order_date,Item1ID,Item1Qty,Item1Price,Item2ID,Item2Qty,Item2Price,Item3ID,Item3Qty,Item3Price,Total_Price
730398,81967,1/3/17,13912039,1,38.96,97363611,8,89.49,10658601,8,77.77,1377.04
943254,27205,11/14/03,83587161,8,38.16,,,,,,,305.28
388472,45004,12/25/19,58129121,9,70.39,22202280,3,64.52,48876275,7,87.33,1438.38
210781,26184,5/15/00,84647092,9,74.73,48166937,10,7.63,61534404,9,98.53,1635.64
622616,33228,12/6/18,20641748,6,48.08,24022229,10,77.52,39316070,1,40.96,1104.64
580338,39925,6/23/17,29948072,4,37.78,19300189,6,68.48,25760793,1,68.04,630.04
191844,79604,4/8/00,20856750,9,9.77,48183330,3,47.26,,,,229.71
713908,45060,4/20/15,20884180,10,89.69,30806149,3,44.66,78534728,10,6.43,1095.18
566463,17330,12/4/20,66585786,8,20.61,50984010,10,13.31,40531117,2,52.59,403.16
452780,15642,9/29/21,23903504,1,15.84,81835236,10,5.72,50141683,8,81.05,721.44
524026,54325,5/10/08,96455433,5,96.76,23621559,10,57.82,89440813,7,91.52,1702.64
835358,66358,8/21/19,99699191,2,46,41526892,2,23.15,29843070,10,39.43,532.6
609451,61092,9/11/17,27211181,1,93.27,14629513,1,65.18,61777189,2,57.31,273.07
277094,35847,6/11/09,63497152,8,56.31,49611112,3,41.82,,,,575.94
845828,83619,1/6/03,24163441,3,85.93,75839437,8,81.87,59193737,6,41.79,1163.49
879069,24582,10/12/16,35902034,9,20.42,,,,,,,183.78
706161,33924,12/23/12,70427252,10,70.92,28558269,8,85.27,28009269,1,80.92,1472.28
918013,82231,9/12/05,28932706,6,56.22,20324224,9,75.6,79328343,10,72,1737.72
981018,34425,2/23/07,82768298,10,79.01,87694593,7,70.09,16752759,7,57.97,1686.52
458975,86082,9/24/07,20662156,3,40.9,24838231,6,13.46,58193619,7,14.74,306.64
352011,23447,8/11/20,98096599,7,52.57,42440203,5,85.46,50361062,5,86.8,1229.29
437677,59536,11/11/10,41554290,10,42.82,28638481,1,8.84,15824519,7,41.84,729.92
802906,21368,9/23/11,71572111,5,26.13,61524438,4,17.18,73405405,8,62.3,697.77
351052,31202,6/23/04,59803982,1,79.85,88300406,1,92.08,86671162,8,51.42,583.29
942058,48993,9/14/05,67968571,6,63.53,68657231,1,91.11,38258306,6,64.98,862.17
142875,52624,3/13/11,54955861,4,18.4,,,,,,,73.6
655610,72594,7/19/03,22329520,2,17.43,44257755,4,41.93,69985451,7,53.34,575.96
766569,45819,5/7/20,10736624,6,76.4,67299011,10,17.33,49362410,3,79.6,870.5
365765,57950,12/19/20,35515562,3,62.8,82638866,4,12.16,68235385,8,30.11,477.92
365267,19199,5/13/19,25652715,1,34.19,18860293,8,56.47,57908827,2,79.03,644.01
874391,64893,8/13/02,87381598,1,52.29,89464232,6,31.1,81771611,4,24.1,335.29
582725,28193,1/19/19,42909508,3,20.73,63430355,1,9.36,,,,71.55
855608,13935,9/4/05,49698616,5,41.57,43282859,3,7.32,32460146,10,99.57,1225.51
373703,63514,10/25/12,23485804,5,87.4,55439372,10,85.29,92858136,5,72.01,1649.95
226965,86830,12/20/03,57830498,7,87.6,98563643,1,14.95,12831128,3,12.99,667.12
825661,33228,8/26/10,34660097,2,70.06,79755766,5,19.66,98526718,5,69.71,586.97
918605,78865,12/19/15,87587663,9,74.3,,,,,,,668.7
356298,10369,2/18/06,57245082,2,69.69,55881141,10,96.17,29759329,5,94.15,1571.83
626356,52208,2/20/13,32441337,8,49.49,58959013,4,34.46,40237003,2,24.49,582.74
687640,37688,11/23/06,66352180,4,64.6,29946633,3,23.43,34649149,10,66.4,992.69
253289,76439,5/30/16,55821680,4,40.95,58450162,8,53.15,65967090,3,23.83,660.49
519617,24454,12/20/15,47142950,6,50.11,26073671,5,68.74,78934050,6,77.84,1111.4
570126,69158,10/7/04,88866653,1,63.58,82874501,6,47.86,69342472,4,88.31,703.98
249348,85508,12/25/14,34194126,7,31.81,97832661,5,32.33,,,,384.32
834608,79639,4/25/11,79066492,4,83.67,84239509,3,69.46,46294073,6,82.64,1038.9
103242,59088,7/20/05,21555940,7,98.44,71129337,3,69.66,37546231,2,57.25,1012.56
757661,58827,6/17/09,67066446,2,30.84,95623952,8,15.27,77561602,9,10.27,276.27
323213,90467,8/27/19,26575821,3,6.54,36406631,10,17.41,55337504,5,15.13,269.37
